frame,x,y,ankle_angle,knee_angle,hip_flag,point_type
360,201.55875,192.13026,120.64579182140739,158.75623,0,1
361,205.4678,191.95612,121.34164746006195,159.98831,0,1
362,205.59398,191.63922,121.7375489989831,159.44812,0,1
363,205.67647,191.22679,121.75761687755877,159.52094,0,1
364,207.3801,188.97073,120.83519928977427,165.88803,0,1
365,207.23727,188.92178,120.53066566121069,166.33722,0,1
366,207.21207,189.00111,120.49197316168441,166.36768,0,1
367,210.01639,188.4251,120.97982765723798,166.75133,0,1
368,210.899,188.36652,121.38128950870623,165.60011,0,1
369,210.6511,188.39699,121.29159484010736,166.03876,0,1
370,213.23595,186.5501,123.40537729394926,165.0659,0,1
371,213.56902,185.21773,124.22321004920443,164.86787,0,1
372,213.50389,183.87231,124.79177251718542,164.58983,0,1
373,213.31633,183.84985,124.69467040625523,164.64294,0,1
374,215.87894,182.02602,127.33504266737465,158.8182,0,2
375,215.88545,182.10536,127.13378737579421,159.018,0,2
376,215.87851,182.07033,127.1342543012531,159.03653,0,2
377,214.18744,178.02446,130.89498029615436,154.67372,0,2
378,213.94955,177.6777,130.9641305108849,154.49776,0,2
379,213.91779,177.70627,130.89451044150073,154.65817,0,2
380,215.2543,176.6291,131.77319063458884,155.62303,0,2
381,211.43813,172.57327,134.27160163340696,150.87616,0,2
382,211.07344,172.45158,133.96993111794902,150.87839,0,2
383,211.1796,172.49884,133.8768381262079,151.15013,0,2
384,212.97523,170.798,139.53927068030592,145.0594,0,2
385,213.01985,170.54095,139.69603431073068,144.87566,0,2
386,213.02849,170.5364,139.71171735066406,144.88599,0,2
387,211.82022,167.71469,143.52635143926506,138.43253,0,2
388,211.20334,166.25671,145.9977811068367,132.36871,0,2
389,211.01514,166.32367,145.63684666231336,133.25764,0,2
390,207.67418,165.2614,144.94349717548485,133.32794,0,2
391,202.48438,164.81607,146.0894128044858,124.72277,0,2
392,202.68709,164.81923,146.16476688626938,124.73056,0,2
393,202.66454,164.80869,145.93246878554828,125.3198,0,2
394,200.09448,161.34827,148.34534705328318,118.452225,1,3
395,200.30974,161.53275,148.19465021115917,118.64061,1,3
396,200.76051,162.89853,146.46383574793646,119.79879,1,3
397,196.9003,162.13277,145.20072150615528,118.63396,1,3
398,196.67084,164.39899,144.3827748977254,114.423195,1,3
399,197.02908,164.43787,144.65415118778796,114.3953,1,3
400,197.04553,164.51166,144.55980868844097,114.42659,1,3
401,187.22153,175.37277,137.86311593152956,115.22179,1,3
402,188.324,172.79123,139.98727220283774,113.57944,1,3
403,188.25351,172.05458,140.38767884750717,113.1052,1,3
404,179.36676,182.30437,130.31419757357355,119.27886,1,3
405,178.62042,182.40916,130.05058076137402,118.68662,1,3
406,178.03989,182.8594,129.5498734284752,119.4476,1,3
407,181.17426,186.14383,129.72070332386755,119.913376,1,3
408,177.42139,184.64941,128.10403385743095,118.93811,1,3
409,177.99261,185.30266,128.09828361448496,116.70989,1,3
410,177.99551,185.30553,128.09692532127679,116.7153,1,3
411,168.73183,175.58975,128.01093119576942,113.659485,1,3
412,168.61568,175.75284,127.77513375712608,113.76197,1,3
413,168.56439,175.7337,127.74317255899089,113.818,1,3
414,157.26343,173.68242,120.00257354610169,114.20742,1,3
415,157.74925,173.41629,119.0816167620449,117.79428,1,3
416,157.70073,173.36133,118.98115646340796,117.70501,1,3
417,156.0581,173.16302,116.90128695183292,120.1842,1,3
418,150.71533,175.62537,111.69529014589124,122.1307,1,3
419,150.9614,175.29892,111.95026759899397,121.667694,1,3
420,150.98755,175.12509,112.09809241582761,121.23166,1,3
421,141.27094,178.73697,104.38114403764051,130.66512,1,5
422,141.97635,178.45775,104.69508147743112,130.75871,1,5
423,142.04346,178.44315,104.83535414688573,130.2875,1,5
424,128.65955,181.53464,95.40784062295138,139.59215,1,5
425,128.81726,181.3083,95.28624907617663,139.77217,1,5
426,129.01903,181.34033,95.46280992080344,139.5251,1,5
427,129.0833,181.29135,95.53446510816684,139.34102,1,5
428,116.53256,182.65118,86.91121643157994,148.94029,1,5
429,114.26841,185.36612,84.31194794599516,152.33098,1,5
430,114.02159,185.4624,84.1341628708315,152.61653,1,5
431,108.91205,183.9719,81.04639601636713,153.43423,1,5
432,109.81781,181.32771,81.28052624088804,152.68407,1,5
433,109.76072,181.07855,81.17528345328903,152.59082,1,5
434,109.02421,180.7523,76.93365416511267,156.88173,1,5
435,106.225586,184.19179,79.3081874353831,154.89223,1,5
436,106.369446,184.48685,79.28213017105814,154.91647,1,5
437,106.20244,185.04387,79.2422010037096,154.90932,1,5
438,108.9729,178.49669,76.51326920274894,157.33884,1,5
439,109.13179,178.55612,77.19313037674277,156.86685,1,5
440,109.358376,178.79236,77.02862025346505,157.2815,1,5
441,103.780945,184.73508,75.4659790610221,157.64044,1,5
442,103.325195,183.4966,75.09000665230276,157.37648,1,5
443,103.25682,183.19922,75.06433710224077,157.18297,1,5
444,106.99463,183.02576,78.38513782782181,155.19751,1,5
445,108.02797,182.69415,78.30993379636121,155.06358,1,5
446,108.48191,181.97134,79.30564601878149,152.56801,1,5
447,108.580444,181.81583,79.51244382288645,152.4647,1,5
448,111.885544,185.15819,83.40356490368393,149.98383,1,5
449,111.800026,185.40636,83.42103059318492,150.08385,1,5
450,111.8658,185.43127,83.58770908941317,149.87349,1,5
451,117.15503,186.3277,89.47697221701593,144.6055,1,5
452,119.43997,186.3644,90.88069464496922,144.37898,1,5
453,119.39398,186.63031,90.9240240261659,144.21594,1,5
454,123.936584,187.03981,95.90230178605003,142.29642,1,5
455,130.9321,188.82704,102.51951162730269,138.1917,1,5
456,131.03888,188.05786,102.23074531056167,137.3608,1,5
457,131.0548,188.07224,102.25457998170671,137.25404,1,5
458,138.57831,187.93037,105.89245763633227,135.40297,1,5
459,138.73169,187.4955,106.2654726366956,135.09483,1,5
460,138.98715,187.36179,106.5456438945188,134.8413,1,5
461,146.24776,186.08556,112.48824748746091,130.51678,1,5
462,145.8365,186.07545,112.19707749449054,130.54333,1,5
463,145.94374,186.0581,112.29578359551925,130.51845,1,5
464,147.63295,188.29239,112.69408272359044,131.568,1,5
465,153.15541,189.5852,113.62906692222927,130.52385,1,5
466,152.96973,189.71947,113.39218171840395,130.7403,1,5
467,153.01892,189.67215,113.42598313006827,130.74554,1,5
468,164.65163,186.32936,121.76236842505539,124.27974,1,3
469,164.5723,186.38123,121.70074174454949,124.311035,1,3
470,164.59648,186.3792,121.71337051026843,124.32072,1,3
471,172.1829,189.80597,125.8230941338292,120.777534,1,3
472,171.8648,189.97847,125.74357197158609,120.77422,1,3
473,171.70303,189.62424,125.79307769400526,120.4437,1,3
474,171.67441,189.59273,125.79338925422911,120.439316,1,3
475,175.35152,186.66476,123.3237565933597,132.60403,1,4
476,175.62762,186.88089,123.26743830157304,132.91652,1,4
477,175.43233,186.80292,123.20861336372175,132.87267,1,4
